Title,Speaker,Scripture,Date_Dirty,Date,YouTube URL,ID,Sort ID,Spotify URL
"What Does It Look Like To ""Walk Worthy""?",Ryan King,Philippians 1:27-30,Sun May 08 2022 00:00:00 GMT+0100 (British Summer Time),08 May 2022,,SXryiJa00ZU,271,
Weak... But Carrying on Through Darkness Part 1,Ryan King,2 Corinthians 3:7-18,Sun May 08 2022 00:00:00 GMT+0100 (British Summer Time),08 May 2022,,HSAWv81ZbyQ,270,
Persevering in Trials and Tribulations,Drew Moss,Philippians 3:4-16,Sun May 01 2022 00:00:00 GMT+0100 (British Summer Time),01 May 2022,,xpNnk35da6E,269,
Weak... But Carrying on When Doubted,Ryan King,2 Corinthians 2:16-3:6,Sun May 01 2022 00:00:00 GMT+0100 (British Summer Time),01 May 2022,,5HXiCyOEkBk,268,
Make Your Mind Instruct Your Heart,Israel Silva,1 Peter 1:13-16,Sun Apr 24 2022 00:00:00 GMT+0100 (British Summer Time),24 April 2022,,UHC8A8272q0,267,
The Marks of a True Friend,Charles Efedua,2 Samuel 15,Sun Apr 24 2022 00:00:00 GMT+0100 (British Summer Time),24 April 2022,,QOvzB-lW14s,266,
Christ is Risen,Ryan King,1 Corinthians 15:1-11,Sun Apr 17 2022 00:00:00 GMT+0100 (British Summer Time),17 April 2022,,x1xkPdBf0I0,265,https://open.spotify.com/episode/1N070rVE5frFyEB91jbrmG
Small Groups and the Church's Heartbeat,Ryan King,Acts 2:42-47,Sun Apr 10 2022 00:00:00 GMT+0100 (British Summer Time),10 April 2022,,GgoRAep3qrE,264,https://open.spotify.com/episode/2RVAIqnwp3QKxRkCe1LpDp
Will You Receive Jesus?,Ryan King,John 1:10-13,Sun Apr 10 2022 00:00:00 GMT+0100 (British Summer Time),10 April 2022,,wIONP9PKp-w,263,https://open.spotify.com/episode/1cp8XkoplAnZGg8IhPYnN2
The Character Changing Power of the Gospel,Charles Efedua,Philemon 1-7,Sun Apr 03 2022 00:00:00 GMT+0100 (British Summer Time),03 April 2022,,zQlHradioeo,262,https://open.spotify.com/episode/4ysmbneAOOa1mRe2aWiF9K
A Grace Envied by Prophets and Angels,Israel Silva,1 Peter 1:10-12,Sun Apr 03 2022 00:00:00 GMT+0100 (British Summer Time),03 April 2022,,bKlFAwj5cpU,261,https://open.spotify.com/episode/5SxTvx7qTqSiaL5ScOBVSw
Weak... But Carrying on When Diverted,Ryan King,2 Corinthians 2:12-17,Sun Mar 27 2022 00:00:00 GMT+0000 (Greenwich Mean Time),27 March 2022,,IsFtNGlONmc,260,https://open.spotify.com/episode/6uNV4G8WZSY5UbBgw5zvHs
Weak... But Comforted Through a Church's Pain,Ryan King,2 Corinthians 2:5-11,Sun Mar 20 2022 00:00:00 GMT+0000 (Greenwich Mean Time),20 March 2022,,XJd8WqFTdqo,259,https://open.spotify.com/episode/2TultgfB55ppAVaQwOi1Xi
Who Am I? Simon Peter and Our Questions of Identity,Ryan King,John 1:35-43,Sun Mar 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),13 March 2022,,4fAo5rRdmKo,258,https://open.spotify.com/episode/0wBMAjiScJTRNpDe4EgVvD
Weak... But Comforted Through a Leader’S Pain,Ryan King,2 Corinthians 1:23-2:4,Sun Mar 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),13 March 2022,,F5h2ClkUeIU,257,https://open.spotify.com/episode/2DntdXCyHzDyGa6hnOuKdF
Weak...but Comforted by God's Promises,Ryan King,2 Corinthians 1:12-24,Sun Mar 06 2022 00:00:00 GMT+0000 (Greenwich Mean Time),06 March 2022,,8h1cHL9gcaY,256,https://open.spotify.com/episode/5HMdmZpcZqxmh9tn87YW9o
A Gospel Story,Charles Efedua,Philemon,Sun Feb 27 2022 00:00:00 GMT+0000 (Greenwich Mean Time),27 February 2022,,QuA3SRidXSk,255,https://open.spotify.com/episode/0uv2GyfLpc8XNBFH6at4ao
"Faint, Yet Pursuing",Ryan King,Judges 8:4,Sun Feb 20 2022 00:00:00 GMT+0000 (Greenwich Mean Time),20 February 2022,,sA8pUEMKHDA,254,https://open.spotify.com/episode/74NAXUhs5EPUWkPqoJuN19
Weak... But Comforted by God's Power,Ryan King,2 Corinthians,Sun Feb 20 2022 00:00:00 GMT+0000 (Greenwich Mean Time),20 February 2022,,cirfP1q-Ihc,253,
One Night in Corinth,Ryan King,Acts 18:1-17,Sun Feb 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),13 February 2022,,GHSUwH_fjew,252,https://open.spotify.com/episode/4mi373uVNdXh45QrNTHOVI
Strong Weakness: God's Power in Our Frailty and Foolishness,Ryan King,2 Corinthians 1:1-2,Sun Feb 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),13 February 2022,,DrrK3sjbCzk,251,https://open.spotify.com/episode/2cDmjoMk1ZC4Nt5OTds6xu
Forgiven Much?,David Omenyo,Luke 7:36-8:3,Sun Feb 06 2022 00:00:00 GMT+0000 (Greenwich Mean Time),06 February 2022,,mzbU17k0NAA,250,https://open.spotify.com/episode/45caGrLjInAeZHiIBMNvnc
How Do I Know if I Am Good Soil?,Ryan King,"Matthew 13:8-9, 23",2022-02-02T11:37:03Z,02 February 2022,,kRXANA4c4pE,249,https://open.spotify.com/episode/5Owf5Y8758PKhXIvbUS3kA
How Do You Respond to Hard Things in Life?,Ryan King,"Matthew 13:5-7, 20-22",2022-02-02T11:35:41Z,02 February 2022,,VVmK-qgF_6A,248,https://open.spotify.com/episode/1A4OwJoYuXFRL7WO5xg5Uy
Do You Have a Hard Heart?,Ryan King,"Matthew 13:1-4, 18-19",2022-02-02T11:32:10Z,02 February 2022,,tXjnEUX0vuk,247,https://open.spotify.com/episode/0YXVNobL1j1s6zLpU4vYRS
Joy Through Profitable Trials,Israel Silva,1 Peter 1:6-7,Sun Jan 23 2022 00:00:00 GMT+0000 (Greenwich Mean Time),23 January 2022,,z7rofzquJhY,246,https://open.spotify.com/episode/0yCE5pI8Dyut5i4hpb80FV
Persevering With a God-Given Faith,Israel Silva,1 Peter 1:3-5,Sun Jan 16 2022 00:00:00 GMT+0000 (Greenwich Mean Time),16 January 2022,,-N-VnslMTm4,245,
God With Us,Regan King,Psalm 132,Sun Jan 09 2022 00:00:00 GMT+0000 (Greenwich Mean Time),09 January 2022,,bcmSaOdjEz4,244,https://open.spotify.com/episode/419mqd4OooK2pFVT105JWR
A Future Inheritance and a Present Hope,Israel Silva,1 Peter 1:3-4,Sun Jan 09 2022 00:00:00 GMT+0000 (Greenwich Mean Time),09 January 2022,,x03z8fogJuk,243,https://open.spotify.com/episode/3AIq9PfcAfGndTCDiSZj8h
Yesterday,Ryan King,Luke 2:8-20,Sun Dec 26 2021 00:00:00 GMT+0000 (Greenwich Mean Time),26 December 2021,,51KzK_1QaSQ,242,https://open.spotify.com/episode/4zhBSyrTu87NJpKIL9kJJq
Blessed Be the God of Our Lord Jesus Christ,Israel Silva,1 Peter 1:3,Sun Dec 19 2021 00:00:00 GMT+0000 (Greenwich Mean Time),19 December 2021,,_FHNdPSi5-k,241,https://open.spotify.com/episode/4P4Dkt7rTPYyrVNeAnpgu0
